"YEARLY_AGENCY_ID","AGENCY_ID","DATA_YEAR","ORI","LEGACY_ORI","COVERED_BY_LEGACY_ORI","DIRECT_CONTRIBUTOR_FLAG","DORMANT_FLAG","DORMANT_YEAR","REPORTING_TYPE","UCR_AGENCY_NAME","NCIC_AGENCY_NAME","PUB_AGENCY_NAME","PUB_AGENCY_UNIT","AGENCY_STATUS","STATE_ID","STATE_NAME","STATE_ABBR","STATE_POSTAL_ABBR","DIVISION_CODE","DIVISION_NAME","REGION_CODE","REGION_NAME","REGION_DESC","AGENCY_TYPE_NAME","POPULATION","SUBMITTING_AGENCY_ID","SAI","SUBMITTING_AGENCY_NAME","SUBURBAN_AREA_FLAG","POPULATION_GROUP_ID","POPULATION_GROUP_CODE","POPULATION_GROUP_DESC","PARENT_POP_GROUP_CODE","PARENT_POP_GROUP_DESC","MIP_FLAG","POP_SORT_ORDER","SUMMARY_RAPE_DEF","PE_REPORTED_FLAG","MALE_OFFICER","MALE_CIVILIAN","PED.MALE_OFFICER+PED.MALE_CIVILIAN","FEMALE_OFFICER","FEMALE_CIVILIAN","PED.FEMALE_CIVILIAN+PED.FEMALE_OFFICER","0","0","NIBRS_CERT_DATE","NIBRS_START_DATE","NIBRS_LEOKA_START_DATE","NIBRS_CT_START_DATE","NIBRS_MULTI_BIAS_START_DATE","NIBRS_OFF_ETH_START_DATE","COVERED_FLAG","COUNTY_NAME","MSA_NAME","PUBLISHABLE_FLAG","PARTICIPATED","NIBRS_PARTICIPATED"
91882018,9188,2018,"MN0210100","MN0210100","","N","N",,"I","ALEXANDRIA","ALEXANDRIA PD","Alexandria","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","City",13759,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","N",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",22,1,23,2,2,4,0,0,01-JUN-16,01-OCT-18,01-OCT-18,01-OCT-18,01-AUG-19,01-OCT-18,"N","DOUGLAS","Non-MSA","Y","Y","Y"
91892018,9189,2018,"MN0210200","MN0210200","","N","N",,"I","OSAKIS","OSAKIS PD","Osakis","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","City",1700,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",3,0,3,0,0,0,0,0,01-JUN-16,01-OCT-18,01-OCT-18,01-NOV-18,01-AUG-19,01-NOV-18,"N","TODD; DOUGLAS","Non-MSA","Y","Y","Y"
91902018,9190,2018,"MN0220000","MN0220000","","N","N",,"I","FARIBAULT","FARIBAULT CO SO BLUE EARTH","Faribault","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","County",5787,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","N",16,"8D","Non-MSA counties under 10,000","8","Non-MSA Counties","N",3,"R","Y",10,8,18,2,8,10,0,0,01-JUN-16,01-APR-18,01-APR-18,01-APR-18,01-APR-18,01-APR-18,"N","FARIBAULT","Non-MSA","Y","Y","Y"
91912018,9191,2018,"MN0220100","MN0220100","","N","N",,"I","BLUE EARTH","BLUE EARTH PD","Blue Earth","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","City",3112,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","N",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",4,0,4,1,0,1,0,0,01-JUN-16,01-APR-18,01-APR-18,01-APR-18,01-APR-18,01-APR-18,"N","FARIBAULT","Non-MSA","Y","Y","Y"
91922018,9192,2018,"MN0220200","MN0220200","","N","N",,"I","ELMORE","ELMORE PD","Elmore","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","City",619,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",1,0,1,0,0,0,0,0,01-JUN-16,01-APR-18,01-APR-18,01-DEC-18,01-APR-18,01-SEP-18,"N","FARIBAULT","Non-MSA","Y","Y","Y"
91932018,9193,2018,"MN0220400","MN0220400","","N","N",,"I","WELLS","WELLS PD","Wells","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","City",2176,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",5,0,5,0,0,0,0,0,01-JUN-16,01-APR-18,01-APR-18,01-APR-18,01-APR-18,01-APR-18,"N","FARIBAULT","Non-MSA","Y","Y","Y"
91942018,9194,2018,"MN0220500","MN0220500","","N","N",,"I","WINNEBAGO","WINNEBAGO PD","Winnebago","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","City",1339,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",2,0,2,1,0,1,0,0,01-JUN-16,01-MAY-18,01-MAY-18,01-JUN-18,01-JUN-18,01-JUN-18,"N","FARIBAULT","Non-MSA","Y","Y","Y"
91992018,9199,2018,"MN0240000","MN0240000","","N","N",,"I","FREEBORN","FREEBORN CO SO ALBERT LEA","Freeborn","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","County",12757,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","N",15,"8C","Non-MSA counties from 10,000 thru 24,999","8","Non-MSA Counties","N",3,"R","Y",23,29,52,2,26,28,0,0,01-JUN-16,01-AUG-17,01-AUG-17,01-AUG-17,01-AUG-17,01-AUG-17,"N","FREEBORN","Non-MSA","Y","Y","Y"
92002018,9200,2018,"MN0240100","MN0240100","","N","N",,"I","ALBERT LEA","ALBERT LEA PD","Albert Lea","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","City",17655,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","N",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",25,0,25,2,3,5,0,0,01-JUN-16,01-AUG-17,01-AUG-17,01-AUG-17,01-AUG-17,01-AUG-17,"N","FREEBORN","Non-MSA","Y","Y","Y"
92012018,9201,2018,"MN0250000","MN0250000","","N","N",,"I","GOODHUE","GOODHUE CO SO RED WING","Goodhue","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","County",18630,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","N",15,"8C","Non-MSA counties from 10,000 thru 24,999","8","Non-MSA Counties","N",3,"R","Y",39,32,71,1,33,34,0,0,01-JUN-16,01-OCT-17,01-OCT-17,01-OCT-17,01-OCT-17,01-OCT-17,"N","GOODHUE","Non-MSA","Y","Y","Y"
92022018,9202,2018,"MN0250100","MN0250100","","N","N",,"I","CANNON FALLS","CANNON FALLS PD","Cannon Falls","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","City",4060,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","N",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",6,0,6,2,2,4,0,0,01-JUN-16,01-OCT-17,01-OCT-17,01-OCT-17,01-OCT-17,01-OCT-17,"N","GOODHUE","Non-MSA","Y","Y","Y"
92032018,9203,2018,"MN0250300","MN0250300","","N","N",,"I","RED WING","RED WING PD","Red Wing","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","City",16405,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","N",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",28,1,29,2,4,6,0,0,01-JUN-16,01-OCT-17,01-OCT-17,01-OCT-17,01-OCT-17,01-OCT-17,"N","GOODHUE","Non-MSA","Y","Y","Y"
92042018,9204,2018,"MN0250400","MN0250400","","N","N",,"I","KENYON","KENYON PD","Kenyon","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","City",1805,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",2,0,2,1,0,1,0,0,01-JUN-16,01-OCT-17,01-OCT-17,01-OCT-17,01-OCT-17,01-OCT-17,"N","GOODHUE","Non-MSA","Y","Y","Y"
92052018,9205,2018,"MN0250800","MN0250800","","N","N",,"I","ZUMBROTA","ZUMBROTA PD","Zumbrota","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","City",3428,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","N",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",5,0,5,1,0,1,0,0,01-JUN-16,01-OCT-17,01-OCT-17,01-OCT-17,01-OCT-17,01-OCT-17,"N","GOODHUE","Non-MSA","Y","Y","Y"
92272018,9227,2018,"MN0272100","MN0272100","","N","N",,"I","ST. LOUIS PARK","ST LOUIS PARK PD","St. Louis Park","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","City",49595,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","Y",8,"4","Cities from 25,000 thru 49,999","4","Cities from 25,000 thru 49,999","N",2,"R","Y",48,2,50,6,13,19,0,0,01-JUN-16,01-JUN-18,01-JUN-18,01-JUN-18,01-JUN-18,01-JUN-18,"N","HENNEPIN","Minneapolis-St. Paul-Bloomington, MN-WI","Y","Y","Y"
92802018,9280,2018,"MN0410000","MN0410000","","N","N",,"I","LINCOLN","LINCOLN CO SO IVANHOE","Lincoln","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","County",3936,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","N",16,"8D","Non-MSA counties under 10,000","8","Non-MSA Counties","N",3,"R","Y",7,1,8,0,5,5,0,0,01-JUN-16,01-NOV-17,01-NOV-17,01-FEB-18,01-FEB-18,01-FEB-18,"N","LINCOLN","Non-MSA","Y","Y","Y"
92922018,9292,2018,"MN0440000","MN0440000","","N","N",,"I","MAHNOMEN","MAHNOMEN CO SO MAHNOMEN","Mahnomen","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","County",5614,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","N",16,"8D","Non-MSA counties under 10,000","8","Non-MSA Counties","N",3,"R","Y",11,1,12,1,6,7,0,0,01-JUN-16,01-FEB-17,01-JAN-18,01-JAN-18,01-JAN-18,01-JAN-18,"N","MAHNOMEN","Non-MSA","Y","Y","Y"
92942018,9294,2018,"MN0460000","MN0460000","","N","N",,"I","MARTIN","MARTIN CO SO FAIRMONT","Martin","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","County",6810,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","N",16,"8D","Non-MSA counties under 10,000","8","Non-MSA Counties","N",3,"R","Y",12,7,19,1,14,15,0,0,01-JUN-16,01-APR-18,01-APR-18,01-APR-18,01-APR-18,01-APR-18,"N","MARTIN","Non-MSA","Y","Y","Y"
92952018,9295,2018,"MN0460100","MN0460100","","N","N",,"I","FAIRMONT","FAIRMONT PD","Fairmont","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","City",10053,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","N",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",16,0,16,2,2,4,0,0,01-JUN-16,01-APR-18,01-APR-18,01-APR-18,01-APR-18,01-APR-18,"N","MARTIN","Non-MSA","Y","Y","Y"
93092018,9309,2018,"MN0520200","MN0520200","","N","N",,"I","ST. PETER","ST PETER PD","St. Peter","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","City",12012,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","Y",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",13,1,14,0,4,4,0,0,01-JUN-16,01-APR-18,01-APR-18,01-APR-18,01-APR-18,01-APR-18,"N","NICOLLET","Mankato, MN","Y","Y","Y"
93102018,9310,2018,"MN0530000","MN0530000","","N","N",,"I","NOBLES","NOBLES CO SO WORTHINGTON","Nobles","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","County",7468,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","N",16,"8D","Non-MSA counties under 10,000","8","Non-MSA Counties","N",3,"R","Y",11,11,22,2,9,11,0,0,01-JUN-16,01-NOV-17,01-NOV-17,01-JAN-18,01-JAN-18,01-JAN-18,"N","NOBLES","Non-MSA","Y","Y","Y"
93112018,9311,2018,"MN0530100","MN0530100","","N","N",,"I","WORTHINGTON","WORTHINGTON PD","Worthington","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","City",13309,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","N",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",21,2,23,0,8,8,0,0,01-JUN-16,01-NOV-17,01-NOV-17,01-NOV-17,01-NOV-17,01-NOV-17,"N","NOBLES","Non-MSA","Y","Y","Y"
93162018,9316,2018,"MN0560000","MN0560000","","N","N",,"I","OTTER TAIL","OTTER TAIL CO SO FERGUS FALLS","Otter Tail","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","County",34623,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","N",14,"8B","Non-MSA counties from 25,000 thru 99,999","8","Non-MSA Counties","N",3,"R","Y",36,25,61,1,22,23,0,0,01-JUN-16,01-NOV-17,01-NOV-17,01-NOV-17,01-NOV-17,01-NOV-17,"N","OTTER TAIL","Non-MSA","Y","Y","Y"
93172018,9317,2018,"MN0560100","MN0560100","","N","N",,"I","FERGUS FALLS","FERGUS FALLS PD","Fergus Falls","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","City",13839,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","N",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",24,0,24,0,5,5,0,0,01-JUN-16,01-NOV-17,01-NOV-17,01-NOV-17,01-NOV-17,01-NOV-17,"N","OTTER TAIL","Non-MSA","Y","Y","Y"
93282018,9328,2018,"MN0620000","MN0620000","","N","N",,"I","RAMSEY","RAMSEY CO SO ST PAUL","Ramsey","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","County",84610,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","Y",20,"9B","MSA counties from 25,000 thru 99,999","9","MSA Counties","N",3,"R","Y",182,160,342,42,84,126,0,0,01-JUN-16,01-JUL-18,01-JUL-18,01-AUG-18,01-AUG-19,01-AUG-18,"N","RAMSEY","Minneapolis-St. Paul-Bloomington, MN-WI","Y","Y","Y"
93322018,9332,2018,"MN0620400","MN0620400","","N","N",,"I","MAPLEWOOD","MAPLEWOOD PD","Maplewood","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","City",41339,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","Y",8,"4","Cities from 25,000 thru 49,999","4","Cities from 25,000 thru 49,999","N",2,"R","Y",42,0,42,8,5,13,0,0,01-JUN-16,01-JUL-18,01-JUL-18,01-AUG-18,01-AUG-19,01-AUG-18,"N","RAMSEY","Minneapolis-St. Paul-Bloomington, MN-WI","Y","Y","Y"
93332018,9333,2018,"MN0620500","MN0620500","","N","N",,"I","MOUNDS VIEW","MOUNDS VIEW POLICE DEPARTMENT","Mounds View","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","City",13235,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","Y",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",16,0,16,4,2,6,0,0,01-JUN-16,01-JUL-18,01-JUL-18,01-AUG-18,01-AUG-19,01-AUG-18,"N","RAMSEY","Minneapolis-St. Paul-Bloomington, MN-WI","Y","Y","Y"
93342018,9334,2018,"MN0620600","MN0620600","","N","N",,"I","NEW BRIGHTON","NEW BRIGHTON DEPARTMENT OF PUBLIC SAFETY","New Brighton","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","City",22978,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","Y",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",26,1,27,3,4,7,0,0,01-JUN-16,01-JUL-18,01-JUL-18,01-AUG-18,01-AUG-18,01-AUG-18,"N","RAMSEY","Minneapolis-St. Paul-Bloomington, MN-WI","Y","Y","Y"
94152018,9415,2018,"MN0790000","MN0790000","","N","N",,"I","WABASHA","WABASHA CO SO WABASHA","Wabasha","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","County",11474,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","Y",21,"9C","MSA counties from 10,000 thru 24,999","9","MSA Counties","N",3,"R","Y",18,18,36,0,14,14,0,0,01-JUN-16,01-NOV-18,01-NOV-18,01-NOV-18,01-AUG-19,01-NOV-18,"N","WABASHA","Rochester, MN","Y","Y","Y"
94162018,9416,2018,"MN0790100","MN0790100","","N","N",,"I","LAKE CITY","LAKE CITY PD","Lake City","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","City",5116,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",10,1,11,0,0,0,0,0,01-JUN-16,01-NOV-18,01-NOV-18,01-NOV-18,01-AUG-19,01-NOV-18,"N","GOODHUE; WABASHA","Rochester, MN","Y","Y","Y"
94172018,9417,2018,"MN0790200","MN0790200","","N","N",,"I","PLAINVIEW","PLAINVIEW PD","Plainview","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","City",3284,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",7,0,7,0,1,1,0,0,01-JUN-16,01-NOV-18,01-NOV-18,01-NOV-18,01-AUG-19,01-NOV-18,"N","WABASHA","Rochester, MN","Y","Y","Y"
94182018,9418,2018,"MN0790300","MN0790300","","N","N",,"I","WABASHA","WABASHA PD","Wabasha","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","City",2475,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","Y",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",7,0,7,0,1,1,0,0,01-JUN-16,01-NOV-18,01-NOV-18,01-NOV-18,01-AUG-19,01-NOV-18,"N","WABASHA","Rochester, MN","Y","Y","Y"
94202018,9420,2018,"MN0800000","MN0800000","","N","N",,"I","WADENA","WADENA CO SO WADENA","Wadena","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","County",6187,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","N",16,"8D","Non-MSA counties under 10,000","8","Non-MSA Counties","N",3,"R","Y",10,3,13,1,6,7,0,0,01-JUN-16,01-JUL-18,01-JUL-18,01-AUG-18,01-AUG-19,01-SEP-18,"N","WADENA","Non-MSA","Y","Y","Y"
94212018,9421,2018,"MN0800100","MN0800100","","N","N",,"I","WADENA","WADENA PD","Wadena","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","City",4076,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","N",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",8,0,8,1,1,2,0,0,01-JUN-16,01-JUL-18,01-JUL-18,01-JUL-18,01-JUL-18,01-JUL-18,"N","OTTER TAIL; WADENA","Non-MSA","Y","Y","Y"
